# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
TTR,amyloid,primary=amyloid IDF-derived (score=4.08); reactome:Amyloid fiber formation (idf=4.08); open_targets:Amyloid fiber formation (idf=4.08) | captured 12 GO / 6 Reactome / 6 OT
ACP2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.36); go:lysosome organization (idf=4.36); go:lysosomal lumen (idf=4.04); go:lysosomal membrane (idf=3.10) (+1 more) | captured 9 GO / 0 Reactome / 0 OT
ADRB2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:positive regulation of autophagosome maturation (idf=6.61); go:endosome to lysosome transport (idf=5.69); go:neuronal dense core vesicle (idf=4.90) (+10 more) | captured 49 GO / 5 Reactome / 5 OT
ALS2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:regulation of endosome size (idf=6.61); go:endosome organization (idf=5.69); go:endosomal transport (idf=4.90) (+4 more) | captured 32 GO / 2 Reactome / 2 OT
ANK1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:Golgi vesicle transport (idf=5.69); go:endoplasmic reticulum to Golgi vesicle-mediated transport (idf=4.41); open_targets:Vesicle-mediated transport (idf=2.66) | captured 35 GO / 5 Reactome / 5 OT
ANKFY1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:endosomal vesicle fusion (idf=6.61); go:Golgi to lysosome transport (idf=6.20); go:retromer complex (idf=5.51) (+6 more) | captured 19 GO / 1 Reactome / 1 OT
ANPEP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.10); go:lysosomal membrane (idf=3.10) | captured 16 GO / 2 Reactome / 2 OT
ANTXR1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.33); go:endosome membrane (idf=3.33) | captured 15 GO / 1 Reactome / 1 OT
ANXA2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:positive regulation of vesicle fusion (idf=6.61); go:positive regulation of receptor-mediated endocytosis involved in cholesterol transport (idf=6.61); go:vesicle budding from membrane (idf=5.92) (+6 more) | captured 67 GO / 6 Reactome / 6 OT
AP2A2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:clathrin-cargo adaptor activity (idf=5.92); go:clathrin adaptor complex (idf=5.92); go:endolysosome membrane (idf=5.51) (+16 more) | captured 28 GO / 16 Reactome / 16 OT
AP2M1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:vesicle-mediated transport in synapse (idf=6.61); go:vesicle budding from membrane (idf=5.92); go:regulation of vesicle size (idf=5.92) (+22 more) | captured 36 GO / 18 Reactome / 18 OT
AP2S1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:clathrin-cargo adaptor activity (idf=5.92); go:clathrin coat assembly (idf=5.51); go:endolysosome membrane (idf=5.51) (+16 more) | captured 24 GO / 15 Reactome / 15 OT
AP3B1,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.61); go:protein localization to phagocytic vesicle (idf=6.61); go:clathrin-coated vesicle cargo loading, AP-3-mediated (idf=6.20); go:clathrin adaptor complex (idf=5.92) (+10 more) | captured 33 GO / 2 Reactome / 2 OT"
AP3D1,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.61); go:synaptic vesicle budding from endosome (idf=6.61); go:synaptic vesicle coating (idf=6.61); go:neurotransmitter receptor transport, postsynaptic endosome to lysosome (idf=6.61) (+17 more) | captured 42 GO / 0 Reactome / 0 OT"
ARFGAP2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:COPI coating of Golgi vesicle (idf=6.20); open_targets:Vesicle-mediated transport (idf=2.66) | captured 6 GO / 3 Reactome / 3 OT
ARHGAP1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:negative regulation of endocytic recycling (idf=6.61); go:sorting endosome (idf=5.92); go:endosomal transport (idf=4.90) (+1 more) | captured 22 GO / 13 Reactome / 13 OT
ARRDC4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:extracellular vesicle biogenesis (idf=6.61); go:protein transport (idf=4.90); go:extracellular vesicle (idf=4.74) (+3 more) | captured 14 GO / 0 Reactome / 0 OT
ATG5,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:chaperone-mediated autophagy (idf=6.20); go:regulation of autophagosome maturation (idf=6.20); go:negative regulation of autophagic cell death (idf=6.20) (+10 more) | captured 44 GO / 4 Reactome / 4 OT
ATG7,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:protein lipidation involved in autophagosome assembly (idf=6.61); go:synaptic vesicle cycle (idf=6.20); go:piecemeal microautophagy of the nucleus (idf=5.69) (+6 more) | captured 38 GO / 5 Reactome / 5 OT
ATP10B,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:lysosomal membrane organization (idf=6.61); go:late endosome membrane (idf=3.84); go:lysosomal membrane (idf=3.10) | captured 18 GO / 1 Reactome / 1 OT
ATP13A2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:autophagosome organization (idf=6.61); go:regulation of autophagosome size (idf=6.20); go:regulation of intracellular protein transport (idf=6.20) (+19 more) | captured 60 GO / 1 Reactome / 1 OT
ATP1A1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.74); go:extracellular vesicle (idf=4.74); go:lysosomal membrane (idf=3.10) | captured 53 GO / 3 Reactome / 3 OT
ATP6V1A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:lysosomal proton-transporting V-type ATPase complex (idf=6.61); go:endosomal lumen acidification (idf=6.20); go:synaptic vesicle lumen acidification (idf=5.92) (+12 more) | captured 41 GO / 6 Reactome / 6 OT
ATP6V1B2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:synaptic vesicle lumen acidification (idf=5.92); reactome:Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy (idf=5.92); open_targets:Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy (idf=5.92) (+7 more) | captured 23 GO / 6 Reactome / 6 OT
ATP6V1C1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:synaptic vesicle lumen acidification (idf=5.92); reactome:Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy (idf=5.92); open_targets:Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy (idf=5.92) (+7 more) | captured 19 GO / 6 Reactome / 6 OT
BACE1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:Golgi-associated vesicle lumen (idf=6.61); go:cytoplasmic vesicle membrane (idf=4.04); go:recycling endosome (idf=4.01) (+7 more) | captured 52 GO / 1 Reactome / 1 OT
BCAP31,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.20); go:positive regulation of retrograde protein transport, ER to cytosol (idf=6.20); go:clathrin-coated vesicle (idf=4.74); go:endoplasmic reticulum to Golgi vesicle-mediated transport (idf=4.41) (+1 more) | captured 22 GO / 5 Reactome / 5 OT"
BECN1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:early endosome to late endosome transport (idf=6.20); go:late endosome to vacuole transport (idf=6.20); go:negative regulation of lysosome organization (idf=5.92) (+17 more) | captured 76 GO / 9 Reactome / 9 OT
BICD2,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=4.82); go:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (idf=4.82); go:cytoplasmic vesicle (idf=3.30); open_targets:Vesicle-mediated transport (idf=2.66) | captured 22 GO / 1 Reactome / 1 OT"
BLOC1S3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:transmembrane protein transporter activity (idf=5.92); go:endosome to melanosome transport (idf=5.69); go:anterograde synaptic vesicle transport (idf=5.69) (+4 more) | captured 19 GO / 1 Reactome / 1 OT
BLOC1S5,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:endosome to melanosome transport (idf=5.69); go:anterograde synaptic vesicle transport (idf=5.69); go:microvesicle (idf=5.69) (+1 more) | captured 16 GO / 0 Reactome / 0 OT
BMP2K,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:regulation of clathrin-dependent endocytosis (idf=6.20) | captured 13 GO / 0 Reactome / 0 OT
C9orf72,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:late endosome to lysosome transport (idf=6.20); go:autophagosome-lysosome fusion (idf=5.92); go:regulation of synaptic vesicle cycle (idf=5.69) (+9 more) | captured 45 GO / 0 Reactome / 0 OT
CAMK2G,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); reactome:Trafficking of AMPA receptors (idf=5.51); open_targets:Trafficking of AMPA receptors (idf=5.51); go:endocytic vesicle membrane (idf=4.12) | captured 26 GO / 22 Reactome / 22 OT
CANX,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); reactome:Regulation of CDH1 posttranslational processing and trafficking to plasma membrane (idf=6.20); open_targets:Regulation of CDH1 posttranslational processing and trafficking to plasma membrane (idf=6.20); go:clathrin-dependent endocytosis (idf=5.00) (+1 more) | captured 23 GO / 10 Reactome / 10 OT
CD2AP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:clathrin binding (idf=5.51); go:vesicle (idf=3.84); go:late endosome (idf=3.75) | captured 42 GO / 1 Reactome / 1 OT
CDR2L,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:vesicle transport along microtubule (idf=5.69) | captured 4 GO / 0 Reactome / 0 OT
CEP131,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:positive regulation of intracellular protein transport (idf=5.69); go:acrosomal vesicle (idf=5.00) | captured 17 GO / 7 Reactome / 7 OT
CHMP2B,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:vesicle fusion with vacuole (idf=6.61); go:multivesicular body-lysosome fusion (idf=6.61); go:late endosome to vacuole transport (idf=6.20) (+21 more) | captured 49 GO / 9 Reactome / 9 OT
CHP1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:positive regulation of protein transport (idf=6.20); go:transport vesicle (idf=4.17) | captured 50 GO / 1 Reactome / 1 OT
CLCN3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:endosomal lumen acidification (idf=6.20); go:vesicle membrane (idf=4.90); go:phagocytic vesicle (idf=4.53) (+10 more) | captured 39 GO / 1 Reactome / 1 OT
CLCN7,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.75); go:late endosome (idf=3.75); go:lysosomal membrane (idf=3.10) | captured 14 GO / 1 Reactome / 1 OT
CLK3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.00); go:acrosomal vesicle (idf=5.00) | captured 17 GO / 0 Reactome / 0 OT
CLN3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:positive regulation of Golgi to plasma membrane protein transport (idf=6.61); go:phagosome-lysosome docking (idf=6.61); go:positive regulation of caveolin-mediated endocytosis (idf=6.61) (+25 more) | captured 82 GO / 1 Reactome / 1 OT
CLN6,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.36); go:lysosomal lumen acidification (idf=5.36); go:lysosome organization (idf=4.36); go:early endosome (idf=3.23) | captured 17 GO / 0 Reactome / 0 OT
CLTC,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:clathrin coat (idf=6.61); go:clathrin coat of trans-Golgi network vesicle (idf=6.61); go:clathrin complex (idf=6.61) (+31 more) | captured 57 GO / 19 Reactome / 19 OT
COG8,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.61); go:retrograde transport, vesicle recycling within Golgi (idf=6.61); go:intra-Golgi vesicle-mediated transport (idf=5.11); open_targets:Vesicle-mediated transport (idf=2.66) | captured 9 GO / 3 Reactome / 3 OT"
COL12A1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.74); go:extracellular vesicle (idf=4.74) | captured 11 GO / 4 Reactome / 4 OT
COL6A1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:intracellular vesicle (idf=5.51); go:lysosomal membrane (idf=3.10); go:lysosome (idf=3.00) | captured 26 GO / 8 Reactome / 8 OT
COL6A3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.74); go:extracellular vesicle (idf=4.74) | captured 11 GO / 8 Reactome / 8 OT
COPA,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:COPI-coated vesicle (idf=6.20); go:COPI vesicle coat (idf=5.51); go:COPI-coated vesicle membrane (idf=5.51) (+7 more) | captured 23 GO / 2 Reactome / 2 OT
COPB1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:COPI-coated vesicle (idf=6.20); go:COPI vesicle coat (idf=5.51); go:COPI-coated vesicle membrane (idf=5.51) (+8 more) | captured 24 GO / 3 Reactome / 3 OT
COPB2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPI vesicle coat (idf=5.51); go:COPI-coated vesicle membrane (idf=5.51); go:intra-Golgi vesicle-mediated transport (idf=5.11) (+6 more) | captured 15 GO / 2 Reactome / 2 OT
COPG1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPI vesicle coat (idf=5.51); go:COPI-coated vesicle membrane (idf=5.51); go:intra-Golgi vesicle-mediated transport (idf=5.11) (+6 more) | captured 21 GO / 2 Reactome / 2 OT
COPZ1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPI vesicle coat (idf=5.51); go:COPI-coated vesicle membrane (idf=5.51); go:intra-Golgi vesicle-mediated transport (idf=5.11) (+5 more) | captured 12 GO / 2 Reactome / 2 OT
CTSB,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:endolysosome lumen (idf=5.92); reactome:Trafficking and processing of endosomal TLR (idf=5.92); open_targets:Trafficking and processing of endosomal TLR (idf=5.92) (+1 more) | captured 25 GO / 8 Reactome / 7 OT
CTSL,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:fusion of virus membrane with host endosome membrane (idf=6.61); reactome:Endosomal/Vacuolar pathway (idf=6.20); open_targets:Endosomal/Vacuolar pathway (idf=6.20) (+7 more) | captured 38 GO / 13 Reactome / 12 OT
DLD,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.00); go:acrosomal vesicle (idf=5.00) | captured 25 GO / 13 Reactome / 13 OT
DMXL1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:secretory vesicle (idf=5.92) | captured 4 GO / 0 Reactome / 0 OT
DNAJC13,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:regulation of endocytic recycling (idf=6.20); go:endosome organization (idf=5.69); go:regulation of early endosome to late endosome transport (idf=5.69) (+5 more) | captured 16 GO / 1 Reactome / 1 OT
DNAJC6,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:synaptic vesicle uncoating (idf=6.61); go:regulation of clathrin coat assembly (idf=6.61); go:synaptic vesicle recycling (idf=6.20) (+14 more) | captured 17 GO / 3 Reactome / 3 OT
DNM2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:synaptic vesicle budding from presynaptic endocytic zone membrane (idf=6.61); go:vesicle scission (idf=6.61); reactome:NOSTRIN mediated eNOS trafficking (idf=5.92) (+19 more) | captured 60 GO / 12 Reactome / 12 OT
DPP4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:receptor-mediated endocytosis of virus by host cell (idf=5.51); go:endocytic vesicle (idf=4.82); go:lysosomal membrane (idf=3.10) | captured 41 GO / 2 Reactome / 2 OT
DPYSL2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.36); go:endocytosis (idf=4.36) | captured 22 GO / 2 Reactome / 2 OT
DYNC1I1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:vesicle transport along microtubule (idf=5.69); go:recycling endosome (idf=4.01); go:vesicle (idf=3.84) (+2 more) | captured 23 GO / 13 Reactome / 12 OT
EDEM1,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.20); go:positive regulation of retrograde protein transport, ER to cytosol (idf=6.20) | captured 15 GO / 2 Reactome / 2 OT"
EDIL3,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.74); go:extracellular vesicle (idf=4.74) | captured 8 GO / 1 Reactome / 1 OT
EGFR,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=6.61); go:multivesicular body, internal vesicle lumen (idf=6.61); go:intracellular vesicle (idf=5.51); go:endocytic vesicle (idf=4.82) (+9 more) | captured 89 GO / 37 Reactome / 37 OT"
ENTHD2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:coated vesicle membrane (idf=6.61); go:cytoplasmic vesicle (idf=3.30) | captured 9 GO / 0 Reactome / 0 OT
EPM2A,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.11); go:positive regulation of macroautophagy (idf=5.11) | captured 35 GO / 2 Reactome / 2 OT
ERGIC1,endocytosis_endosomal,"primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPII-coated ER to Golgi transport vesicle (idf=5.51); go:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (idf=4.82); go:endoplasmic reticulum to Golgi vesicle-mediated transport (idf=4.41) | captured 11 GO / 0 Reactome / 0 OT"
EXOC4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:vesicle tethering involved in exocytosis (idf=6.61); go:vesicle docking involved in exocytosis (idf=6.20); go:regulation of macroautophagy (idf=4.36) (+1 more) | captured 26 GO / 3 Reactome / 3 OT
FIG4,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); reactome:Synthesis of PIPs at the late endosome membrane (idf=5.51); open_targets:Synthesis of PIPs at the late endosome membrane (idf=5.51); reactome:Synthesis of PIPs at the early endosome membrane (idf=5.36) (+5 more) | captured 20 GO / 3 Reactome / 3 OT
FMN2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.04); go:cytoplasmic vesicle membrane (idf=4.04); go:vesicle-mediated transport (idf=3.72) | captured 35 GO / 0 Reactome / 0 OT
FNIP1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:negative regulation of lysosome organization (idf=5.92); go:lysosomal membrane (idf=3.10) | captured 19 GO / 1 Reactome / 1 OT
FTH1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.00); go:autolysosome (idf=5.00); reactome:Golgi Associated Vesicle Biogenesis (idf=4.82); open_targets:Golgi Associated Vesicle Biogenesis (idf=4.82) (+4 more) | captured 26 GO / 4 Reactome / 4 OT
FTL,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.00); go:autolysosome (idf=5.00); reactome:Golgi Associated Vesicle Biogenesis (idf=4.82); open_targets:Golgi Associated Vesicle Biogenesis (idf=4.82) (+3 more) | captured 18 GO / 4 Reactome / 4 OT
GAA,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:autolysosome lumen (idf=6.61); go:lysosome organization (idf=4.36); go:lysosomal lumen (idf=4.04) (+2 more) | captured 24 GO / 3 Reactome / 3 OT
GABARAPL2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.22); go:autophagosome maturation (idf=5.22); go:intra-Golgi vesicle-mediated transport (idf=5.11); go:autophagosome membrane (idf=5.00) (+7 more) | captured 25 GO / 2 Reactome / 2 OT
GAS7,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:clathrin coat assembly (idf=5.51); go:clathrin-dependent endocytosis (idf=5.00); go:clathrin-coated pit (idf=4.82) (+1 more) | captured 9 GO / 0 Reactome / 0 OT
GFAP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.92); go:regulation of chaperone-mediated autophagy (idf=5.92); go:cytoplasmic side of lysosomal membrane (idf=5.92); reactome:Chaperone Mediated Autophagy (idf=5.51) (+3 more) | captured 25 GO / 2 Reactome / 2 OT
GJA8,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=2.66); open_targets:Vesicle-mediated transport (idf=2.66) | captured 9 GO / 1 Reactome / 1 OT
GJC2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=2.66); open_targets:Vesicle-mediated transport (idf=2.66) | captured 10 GO / 1 Reactome / 1 OT
GOLGA2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:COPII-coated ER to Golgi transport vesicle (idf=5.51); reactome:COPII-mediated vesicle transport (idf=5.11); open_targets:COPII-mediated vesicle transport (idf=5.11) (+3 more) | captured 31 GO / 4 Reactome / 4 OT
GRN,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.61); go:positive regulation of lysosome organization (idf=6.61); go:lysosomal lumen acidification (idf=5.36); go:lysosomal transport (idf=4.82) (+6 more) | captured 48 GO / 1 Reactome / 1 OT
GRP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=3.30); go:cytoplasmic vesicle (idf=3.30) | captured 18 GO / 3 Reactome / 3 OT
HBEGF,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.36); go:clathrin-coated endocytic vesicle membrane (idf=4.36); reactome:Cargo recognition for clathrin-mediated endocytosis (idf=4.36); open_targets:Cargo recognition for clathrin-mediated endocytosis (idf=4.36) (+4 more) | captured 27 GO / 31 Reactome / 31 OT
HP,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.51); go:endocytic vesicle lumen (idf=5.51); open_targets:Vesicle-mediated transport (idf=2.66) | captured 15 GO / 2 Reactome / 2 OT
HTRA2,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:regulation of autophagy of mitochondrion (idf=5.69) | captured 48 GO / 2 Reactome / 2 OT
HTT,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.69); go:vesicle transport along microtubule (idf=5.69); go:synaptic vesicle transport (idf=5.51); go:endosomal transport (idf=4.90) (+6 more) | captured 53 GO / 1 Reactome / 1 OT
INPP5F,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=6.20); go:regulation of endocytic recycling (idf=6.20); go:clathrin-coated endocytic vesicle (idf=5.36); reactome:Synthesis of PIPs at the early endosome membrane (idf=5.36) (+6 more) | captured 26 GO / 1 Reactome / 1 OT
ITGA1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=5.00); go:acrosomal vesicle (idf=5.00) | captured 29 GO / 6 Reactome / 6 OT
KCNQ1,endocytosis_endosomal,primary=endocytosis_endosomal IDF-derived (score=4.17); go:transport vesicle (idf=4.17); go:cytoplasmic vesicle membrane (idf=4.04); go:late endosome (idf=3.75) (+3 more) | captured 103 GO / 3 Reactome / 3 OT
